,price,name,brand,country_state,region,appellation,varietal,style,abv,taste,body,wine_adv_rating,customer_avg_rating,customer_total_ratings
1,59.99,"Castiglion del Bosco Brunello di Montalcino, 2014",Castiglion del Bosco,Italy,Tuscany,Brunello di Montalcino,Sangiovese,,,,,91,4.5,11
2,21.99,"Jip Jip Rocks Shiraz, 2016",Jip Jip Rocks,Australia,Limestone Coast,,Syrah/Shiraz,Fresh,15,"Blackberry, Pepper",Medium-bodied,92,4.2,30
3,57.99,"K Vintners Syrah The Beautiful, 2015",K Vintners,Washington,Columbia Valley,Walla Walla,Syrah/Shiraz,,15.5,,,98,3,6
4,16.99,"Les Piliers Syrah, 2015",Les Piliers,France,Vins de Pays d'Oc,,Syrah/Shiraz,Intense,14,"Cherry, Cassis, Spice",Full-bodied,89,4,37
0,29.99,"Mitolo Angela Shiraz, 2018",Mitolo,Australia,McLaren Vale,,Syrah/Shiraz,,,,,93,5,1
1,196.97,"Mollydooker Shiraz Velvet Glove, 2018",Mollydooker,Australia,McLaren Vale,,Syrah/Shiraz,Intense,,"Blueberry, Chocolate",Full-bodied,96,5,6
2,28.49,"Baron de Ley Rioja Gran Reserva, 2001",Baron de Ley,Spain,Rioja,,Tempranillo,,,,,93,4.1,7
3,51.99,"Emilio Moro Malleolus Ribera del Duero Tempranillo, 2018",Emilio Moro,Spain,Ribera del Duero,,Tempranillo,Concentrated,,"Cherry, Berry, Mocha",Full-bodied,93,5,3
4,21.99,"Pico Cuadro Original Ribera Del Duero, 2016",Pico Cuadro,Spain,Ribera del Duero,,Tempranillo,Elegant,14.5,"Black Fruit, Spice",Medium-bodied,90,4.4,11
0,86.99,"Pingus Flor de Pingus Ribera, 2012",Flor de Pingus,Spain,Ribera del Duero,,Tempranillo,,,,,93,5,3
1,111.99,"Vega Sicilia Alion, 2014",Vega Sicilia,Spain,Ribera del Duero,,Tempranillo,Elegant,,"Cassis, Espresso, Smoke",Full-bodied,94,4.5,4
2,59.99,"Vega Sicilia & Rothschild Macan Clasico, 2013",Vega Sicilia,Spain,Rioja,,Tempranillo,,14,,,92,4.8,4
3,59.99,"Martinelli Zinfandel Giuseppe & Luisa Vineyard, 2019",Martinelli,California,Sonoma County,,Zinfandel,Intense,,"Blackberry, Herb",Full-bodied,97,4.3,4
4,49.99,"Turley Zinfandel Old Vines, 2019",Turley,California,,,Zinfandel,Concentrated,,"Raspberry, Plum",Full-bodied,93,4.3,8
0,49.99,"Orin Swift Slander Pinot Noir , 2017",Orin Swift,California,,,Pinot Noir,Concentrated,,"Strawberry, Cherry, Violet",Medium-bodied,93,4.6,31
1,51.99,"Patz & Hall Pinot Noir Sonoma Coas, 2013",Patz & Hall,California,Sonoma County,,Pinot Noir,Elegant,,"Plum, Cherry",Medium-bodied,91,4.1,15
2,34.99,"Petites Secondes Pinot Noir Willamette, 2017",Petites Secondes,Oregon,Willamette Valley,,Pinot Noir,Elegant,14.1,"Dark Berry, Blueberry",Medium-bodied,92,4.2,69
3,29.99,"River Road Pinot Noir Stephanie's Russian River Valley, 2016",River Road,California,Sonoma County,Russian River Valley,Pinot Noir,Elegant,14.3,"Cherry, Raspberry, Cocoa",Medium-bodied,90,4.4,39
4,89.99,"Rochioli Pinot Noir Russian River Valley, 2014",Rochioli,California,Sonoma County,Russian River Valley,Pinot Noir,Elegant,,"Cherry, Plum, Smoke",Medium-bodied,90,4.7,9
0,21.99,"Donnachiara Aglianico Irpinia, 2015",Donnachiara,Italy,Campagnia,,Aglianico,Elegant,13,"Prune, Berry, Spice",Full-bodied,91,3.9,21
1,32.99,"Batzella Bolgheri Pean, 2016",Batzella,Italy,Tuscany,Bolgheri,Bordeaux Blend,Elegant,14.4,"Cherry, Herb",Medium-bodied,92,4,13
2,45.99,"Batzella Bolgheri Tam, 2010",Batzella,Italy,Tuscany,Bolgheri,Bordeaux Blend,Elegant,14.5,"Cherry, Mocha",Medium-bodied,93,4.1,10
3,47.99,"Castello Paneretta Terrine IGT, 2005",Castello della Paneretta,Italy,Tuscany,Toscana,Bordeaux Blend,Elegant,12.5,"Spice, Blackberry",Full-bodied,92,5,2
4,99.99,"Chateau Beau-Sejour Becot St Emilion, 2017",Chateau Beau-Sejour Becot,France,Bordeaux,Saint-Emilion,Bordeaux Blend,Concentrated,13.5,"Oak, Cherry, Raspberry",Full-bodied,96,,0
0,69.99,"Chateau Garraud Lalande de Pomerol, 2016",Chateau Garraud,France,Bordeaux,Lalande-de-Pomerol,Bordeaux Blend,Elegant,14,"Blackberry, Plum",Full-bodied,90,3.8,10
1,32.99,"Chateau Joanin Becot Castillion, 2012",Chateau Joanin Becot,France,Bordeaux,Castillon/Cotes de Bordeaux,Bordeaux Blend,Intense,13.5,"Raspberry, Cedar",Medium-bodied,90,3.8,12
2,589.99,"Chateau Lafite Rothschild Pauillac, 2018",Chateau Lafite Rothschild,France,Bordeaux,Pauillac,Bordeaux Blend,Concentrated,12.5,"Cherry, Dark Berry, Oak",Full-bodied,100,,0
3,"1,399.97","Chateau Lafite Rothschild Pauillac, 2018",Chateau Lafite Rothschild,France,Bordeaux,Pauillac,Bordeaux Blend,Concentrated,12.5,"Cherry, Dark Berry, Oak",Full-bodied,100,,0
4,129.99,"Chateau Malescot St Exupery Margaux, 2018",Chateau Malescot st Exupery,France,Bordeaux,Margaux,Bordeaux Blend,Concentrated,14.5,"Red Cherry, Fig, Oak",Full-bodied,95,5,1
0,"1,149.97","Chateau Margaux Margaux, 2018",Chateau Margaux,France,Bordeaux,Margaux,Bordeaux Blend,Intense,12.5,"Raspberry, Blueberry, Oak",Full-bodied,100,5,5
1,59.99,"Chateau Quinault L'Enclos St. Emilion, 2016",Chateau Quinault L'Enclos,France,Bordeaux,Saint-Emilion,Bordeaux Blend,Intense,13,"Dark Berry, Raspberry",Full-bodied,93,3,4
2,37.99,"Chateau Rochemorin Rouge Pessac, 2014",Chateau Rochemorin,France,Bordeaux,Pessac-Leognan,Bordeaux Blend,Elegant,13,"Currant, Tobacco",Medium-bodied,90,3,6
3,64.97,"Ornellaia Le Serre Nuove, 2014",Ornellaia,Italy,Tuscany,Toscana,Bordeaux Blend,Fresh,,"Herb, Black Fruit",Medium-bodied,90,4,4
4,"3,699.97","Petrus Pomerol, 2015",Petrus,France,Bordeaux,Pomerol,Bordeaux Blend,Elegant,14.5,"Cassis, Black Currant, Smooth",Full-bodied,100,5,1
0,199.99,"Amici Cabernet Sauvignon Morisoli Vineyard, 2018",Amici,California,Napa Valley,Rutherford,Cabernet Sauvignon,Concentrated,14.7,"Coffee, Blackberry, Cocoa",Full-bodied,96,4.8,8
1,179.99,"Amici Cabernet Sauvignon Spring Mountain, 2017",Amici,California,Napa Valley,Spring Mountain,Cabernet Sauvignon,Elegant,14.9,"Clove, Raspberry, Olive",Full-bodied,96,4.2,10
2,69.99,"Aquilini Red Mountain Cabernet Sauvignon, 2017",Aquilini,Washington,Columbia Valley,Red Mountain,Cabernet Sauvignon,,,,,97,,0
3,639.97,"Beringer 8th Maker Cabernet Sauvignon Napa Valley, 2016",Beringer,California,Napa Valley,,Cabernet Sauvignon,Concentrated,,"Blackberry, Coffee, Herbes de Provence",Full-bodied,95,,0
4,799.99,"Bryant Family Vineyard Cabernet Napa, 2012",Bryant Family,California,Napa Valley,,Cabernet Sauvignon,Concentrated,,"Currant, Black Plum",Full-bodied,98,,0
0,129.99,"Don Melchor Cabernet Sauvignon, 2016",Concha Y Toro,Chile,Maipo Valley,,Cabernet Sauvignon,Elegant,,"Cassis, Blackberry",,94,4,3
1,174.99,"Dunn Cabernet Howell Mountain, 2015",Dunn,California,Napa Valley,,Cabernet Sauvignon,Concentrated,,"Currant, Cedar",Full-bodied,95,,0
2,169.99,"Eisele Vineyards Altagracia Napa, 2017",Araujo,California,Napa Valley,,Cabernet Sauvignon,Concentrated,,"Black Fruit, Blackberry, Herb",Full-bodied,95,4,1
3,44.99,"Gamache Vintners Nicolas Columbia, 2011",Gamache Vintners,Washington,Columbia Valley,,Cabernet Sauvignon,Intense,14.5,"Cherry, Spice",Medium-bodied,90,5,4
4,49.99,"Glenelly Cabernet Lady May, 2011",Glenelly,South Africa,Stellenbosch,,Cabernet Sauvignon,,,,,92,,0
0,89.99,"Immortal Estate Slope Cabernet Sauvignon, 2014",Immortal Estate,California,Sonoma County,,Cabernet Sauvignon,,,,,97,,0
1,209.99,"Inglenook Rubicon Rutherford, 2012",Inglenook Winery (Coppola),California,Napa Valley,Rutherford,Cabernet Sauvignon,Concentrated,,"Cassis, Anise, Cedar",Full-bodied,95,4.5,2
2,129.99,"J Davies Cabernet Sauvignon Diamond Mountain, 2010",Davies Vineyards,California,Napa Valley,Diamond Mountain,Cabernet Sauvignon,Intense,,Blackberry,Full-bodied,92,5,2
3,209.97,"La Sirena Cabernet Sauvignon, 2013",La Sirena,California,Napa Valley,,Cabernet Sauvignon,,,,,95,,0
4,229.99,"Mark Herold Cabernet Sauvignon White Label Oakville, 2012",Mark Herold,California,Napa Valley,Oakville,Cabernet Sauvignon,Concentrated,15.2,"Blackberry, Espresso",Full-bodied,95,3.7,3
0,799.99,"Bryant Family Vineyard Cabernet Napa, 2012",Bryant Family,California,Napa Valley,,Cabernet Sauvignon,Concentrated,,"Currant, Black Plum",Full-bodied,98,,0
1,49.99,"Cadence Ciel du Cheval Red, 2015",Cadence,Washington,Columbia Valley,Red Mountain,Cabernet Sauvignon,Concentrated,14.4,"Cherry, Spice",Full-bodied,93,,0
2,47.99,"Cadence Tapteil Red Mountain, 2008",Cadence,Washington,Columbia Valley,Red Mountain,Cabernet Sauvignon,Elegant,14.4,"Plum, Spice",Medium-bodied,90,3.8,6
3,219.97,"Cakebread Dancing Bear Ranch Red, 2018",Cakebread,California,Napa Valley,Howell Mountain,Cabernet Sauvignon,,,,,97,,0
